"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2022;96.4
"Y30T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2021;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2018;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2019;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_SMARTPHONE";"L";2019;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_INT";"L";2019;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2019;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2019;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2019;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2018;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2018;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2019;65.9
"_T";"_T";"_T";"A";"PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_INT";"L";2019;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2017;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2017;84.9
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_SMARTPHONE";"L";2017;
"Y30T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2017;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2017;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2017;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2018;94.4
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2016;76.1
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2017;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2017;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2017;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_ORDI";"L";2020;
"_T";"_T";"_T";"A";"INT_URBAN";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2020;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2021;98.8
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2020;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2020;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2021;88.1
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2020;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2020;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"L";2020;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2011;67.5
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_INT";"A";2011;37.4
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2011;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2011;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2011;89.9
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2011;
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2011;91.9
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_X_OUTILS_NUM";"L";2011;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2010;23.7
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2011;57.5
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2011;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2016;
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_INT";"L";2016;
