"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2012;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2009;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2011;
"_T";"_T";"_T";"A";"INT_URBAN";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"HAUT_DEBIT";"L";2012;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_SMARTPHONE";"L";2013;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2012;
"_T";"_T";"_T";"A";"PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_ORDI";"L";2013;
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2013;95.5
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2013;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2012;90.8
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2012;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2009;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_LISEUSE";"L";2010;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2009;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2010;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2009;61.4
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_ORDI";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_X_OUTILS_NUM";"L";2009;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2009;85.2
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"HAUT_DEBIT";"A";2009;69.8
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_INT";"L";2010;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2017;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_INT";"L";2017;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2017;46.9
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2017;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2017;77.2
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2017;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2017;86.1
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_ORDI";"L";2018;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2017;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_LISEUSE";"L";2014;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2014;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_TAB";"L";2014;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2013;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_SMARTPHONE";"L";2014;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2014;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2011;90.2
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2011;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_TAB";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2011;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2010;52.5
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2010;60.9
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_INT";"A";2011;53
"_T";"_T";"_T";"A";"PERI_URBAN_RURAL";"_T";"_T";"_T";"HAUT_DEBIT";"L";2010;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2011;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2011;86.2
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2011;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2016;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2016;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2016;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2015;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2020;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2021;94.6
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2019;93
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_TAB";"L";2018;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2023;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2022;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_ORDI";"L";2022;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2021;
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2022;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2022;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"HAUT_DEBIT";"A";2021;93.1
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2021;95.3
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2022;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_SMARTPHONE";"L";2021;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2022;97.4
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"HAUT_DEBIT";"A";2025;86.7
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_LISEUSE";"A";2025;11.1
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_TAB";"L";2024;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"L";2020;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2020;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"L";2020;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_TAB";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_SMARTPHONE";"L";2020;
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2021;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2020;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2020;
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2013;79.8
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2012;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2012;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2012;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2013;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_SMARTPHONE";"L";2012;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_LISEUSE";"L";2012;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2012;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2012;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_LISEUSE";"L";2013;
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2013;84.2
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_SMARTPHONE";"L";2018;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_LISEUSE";"L";2019;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2018;92.7
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2019;
"Y_GE60";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2019;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"HAUT_DEBIT";"A";2018;81.6
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_INT";"L";2019;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2019;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2018;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2018;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_TAB";"L";2018;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2024;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2023;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_LISEUSE";"L";2023;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2023;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2023;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2023;59.6
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_INT";"L";2023;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_ORDI";"L";2023;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2023;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2023;96.5
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2023;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"HAUT_DEBIT";"L";2013;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2014;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2014;74.2
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2014;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_ORDI";"L";2014;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_INT";"L";2014;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2014;87.4
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"HAUT_DEBIT";"L";2013;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2014;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2013;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2015;95.9
"_T";"_T";"_T";"A";"INT_URBAN";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2016;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2016;
"Y60T74";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2015;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2016;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2015;80.5
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_LISEUSE";"L";2016;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_SMARTPHONE";"L";2015;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"HAUT_DEBIT";"L";2010;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2011;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_TAB";"L";2011;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2010;7.8
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2011;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_TAB";"L";2011;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_INT";"L";2011;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2011;
"_T";"_T";"_T";"A";"INT_URBAN";"_T";"_T";"_T";"EQUIP_TAB";"L";2011;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_ORDI";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2009;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2010;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2009;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2009;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2009;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2010;66.8
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_ORDI";"L";2010;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2009;
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2009;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2010;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2024;94.4
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2025;98.4
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"A";2025;91.3
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"A";2025;93.7
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2024;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2024;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_LISEUSE";"A";2025;8.3
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"HAUT_DEBIT";"A";2025;97.1
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2025;89.9
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_SMARTPHONE";"A";2025;90.9
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2025;95
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2017;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2018;45
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2017;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2017;92.4
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2017;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"HAUT_DEBIT";"L";2016;
"Y30T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2018;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_INT";"A";2017;97
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_INT";"A";2017;93.7
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2017;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_ORDI";"L";2020;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2020;
"Y30T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2020;
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_TAB";"L";2020;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"L";2020;
"Y_GE60";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2021;98.4
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2020;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"L";2020;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2018;64.2
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_X_OUTILS_NUM";"L";2018;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2018;
"Y45T59";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2019;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2018;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2018;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2019;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2019;88
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2018;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2018;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_TAB";"L";2018;
"Y30T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2014;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2015;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2013;51.5
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_INT";"A";2015;90.1
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2014;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2014;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2014;77.6
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2015;94.3
"Y_GE60";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2014;56.1
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_INT";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_X_OUTILS_NUM";"L";2014;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_SMARTPHONE";"L";2022;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2021;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_ORDI";"L";2022;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"HAUT_DEBIT";"L";2021;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_TAB";"L";2022;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_SMARTPHONE";"L";2021;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_LISEUSE";"L";2022;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"HAUT_DEBIT";"L";2021;
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2022;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2021;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2022;
"Y_GE60";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2024;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2023;
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2023;
"Y_GE60";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2023;
"Y45T59";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2023;
"Y_GE60";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2024;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2023;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2023;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2024;93.4
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_LISEUSE";"L";2023;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2023;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_LISEUSE";"L";2016;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2016;
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_INT";"A";2016;85.6
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2016;
"_T";"_T";"_T";"A";"INT_URBAN";"_T";"_T";"_T";"EQUIP_INT";"L";2016;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_SMARTPHONE";"L";2016;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2015;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2015;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2009;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2010;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2010;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2010;
