"AGE";"EP_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"SEASONAL_ADJUST";"SEX";"UNIT_MEASURE";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2019;33420065
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1960;298859
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1992;16032924
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1994;31721709
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1968;282355
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2005;3143680
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1999;15792118
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1956;6667109
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2006;3241456
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1947;5917169
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1989;14924271
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1962;1353807
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2010;8135859
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1947;882628
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1998;14560131
"_T";"STAT_ADJUST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2010;0
"_T";"STAT_ADJUST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2016;-82982
"_T";"STAT_ADJUST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1954;0
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"R";"D";"0";2021;1.2
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1976;3.1
"_T";"AVERAGE_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2000;60724780
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1988;4.4
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1935;-0.4
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1987;4.5
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1981;250660
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1994;15743811
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1975;13626
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1999;60000
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1982;254119
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2004;105000
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1993;15892353
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1993;3645696
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1983;54772419
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1990;56708831
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"R";"D";"0";2022;14368882
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2008;1990417
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2005;3187736
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1994;15842523
"Y_LT15";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1992;11846294
"Y_LT15";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2015;6032139
"Y_GE60";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2015;7157023
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1962;20548112
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1950;2731078
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1950;6369424
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2009;2009609
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2004;7766148
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1976;6426669
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1981;6161342
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2018;5949101
"_T";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2015;64300821
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2014;16199977
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2000;29748566
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1980;253269
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2020;28717562
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2001;85000
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1999;15594837
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2003;29696840
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2003;4713945
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2010;5659458
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1950;41828673
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1954;50872
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2001;14902246
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2001;2859895
"Y_GE75";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2007;1931210
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1999;7975327
"Y_GE60";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2019;7742927
"Y_LT15";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2003;5978430
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";2017;8346043
"_T";"AVERAGE_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1990;58138268
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2015;205268
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1914;-0.4
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2014;259272
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1959;345951
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1993;200773
